time,grid_draw_kw,commercial_kw,pv_ac_kw,pv_curtail_kw
2025-11-04 00:00:00,81.49014246797275,81.49014246797275,0.0,0.0
2025-11-04 00:15:00,79.58520712326464,79.58520712326464,0.0,0.0
2025-11-04 00:30:00,81.94306568716732,81.94306569232329,0.0,0.0
2025-11-04 00:45:00,84.56908974055538,84.5690897903221,0.0,0.0
2025-11-04 01:00:00,79.29754048522202,79.29754048522202,0.0,0.0
2025-11-04 01:15:00,79.29759076276041,79.29759076276041,0.0,0.0
2025-11-04 01:30:00,84.73764263952394,84.7376427058156,0.0,0.0
2025-11-04 01:45:00,82.30231496423622,82.30231498849776,0.0,0.0
2025-11-04 02:00:00,78.59160348202658,78.59160348202658,0.0,0.0
2025-11-04 02:15:00,81.62774398670314,81.62774403580454,0.0,0.0
2025-11-04 02:30:00,78.60989602114743,78.60989602114743,0.0,0.0
2025-11-04 02:45:00,78.60314908014784,78.60314908073983,0.0,0.0
2025-11-04 03:00:00,80.72663344909971,80.72663355814834,0.0,0.0
2025-11-04 03:15:00,74.26176223482972,74.26176223482972,0.0,0.0
2025-11-04 03:30:00,74.82859319784907,74.82859319784907,0.0,0.0
2025-11-04 03:45:00,78.3199332312089,78.3199332788875,0.0,0.0
2025-11-04 04:00:00,76.97492845191366,76.97492845191366,0.0,0.0
2025-11-04 04:15:00,80.96852382326,80.96852392495701,0.0,0.0
2025-11-04 04:30:00,77.32409567112201,77.32409567112201,0.0,0.0
2025-11-04 04:45:00,75.85061517558623,75.85061517558623,0.0,0.0
2025-11-04 05:00:00,84.5516346958566,84.55163485505413,0.0,0.0
2025-11-04 05:15:00,79.58857046258196,79.58857051037803,0.0,0.0
2025-11-04 05:30:00,80.64713069437678,80.64713080825206,0.0,0.0
2025-11-04 05:45:00,76.44862134156892,76.44862138433278,0.0,0.0
2025-11-04 06:00:00,79.51010207450422,79.51010221306531,0.0,0.0
2025-11-04 06:15:00,82.0913774175905,82.09137765733506,0.0,0.0
2025-11-04 06:30:00,79.17816349709044,79.17816367726395,0.0,0.0
2025-11-04 06:45:00,84.9559599743471,84.95596032719835,0.0,0.0
2025-11-04 07:00:00,77.91881516574438,83.61747590388714,5.698660557847624,0.0
2025-11-04 07:15:00,65.78069854711532,86.58583154680825,20.805132999692926,0.0
2025-11-04 07:30:00,52.27413638673489,88.18574164579879,35.91160544153822,0.0
2025-11-04 07:45:00,47.552295111046625,98.5703722595324,51.01807788338352,0.0
2025-11-04 08:00:00,30.3236426264489,96.44819126142045,66.12455032522882,0.0
