time,commercial_kw,pv_ac_kw,pv_curtail_kw,chargers_requested_kw,chargers_controlled_kw,bess_charge_kw,bess_discharge_kw,soc_kwh,grid_draw_kw,violation_kw
2025-11-04 00:00:00,81.49014246797275,0.0,0.0,0.0,0.0,0.0,0.0,2.7654770404077304e-08,81.49014246797275,9.952936862912379e-07
2025-11-04 00:15:00,79.58520712326464,0.0,0.0,0.0,0.0,0.0,0.0,3.2998025558166694e-08,79.58520712326464,9.690260292038665e-07
2025-11-04 00:30:00,81.94306569232329,0.0,0.0,0.0,0.0,0.0,5.155973080534264e-09,5.488063241028306e-08,81.94306568716732,1.0379320960711815e-06
2025-11-04 00:45:00,84.5690897903221,0.0,0.0,0.0,0.0,0.0,4.976671265366271e-08,5.101877566932588e-08,84.56908974055538,1.097408297340473e-06
2025-11-04 01:00:00,79.29754048522202,0.0,0.0,0.0,0.0,0.0,0.0,2.540622764057852e-08,79.29754048522202,9.94532527734119e-07
2025-11-04 01:15:00,79.29759076276041,0.0,0.0,0.0,0.0,0.0,0.0,5.161738305860761e-08,79.29759076276041,1.003847082660309e-06
2025-11-04 01:30:00,84.7376427058156,0.0,0.0,0.0,0.0,0.0,6.629166438680979e-08,7.986362682495003e-08,84.73764263952394,1.1557994813980387e-06
2025-11-04 01:45:00,82.30231498849776,0.0,0.0,0.0,0.0,0.0,2.426153627518376e-08,4.618614363203542e-08,82.30231496423622,1.1246314419032296e-06
2025-11-04 02:00:00,78.59160348202658,0.0,0.0,0.0,0.0,0.0,0.0,3.299569321405532e-08,78.59160348202658,1.0474884370296697e-06
2025-11-04 02:15:00,81.62774403580454,0.0,0.0,0.0,0.0,0.0,4.910139784573785e-08,6.040380597438031e-08,81.62774398670314,1.1747631339971663e-06
2025-11-04 02:30:00,78.60989602114743,0.0,0.0,0.0,0.0,0.0,0.0,3.509859451915504e-08,78.60989602114743,1.1114891493262777e-06
2025-11-04 02:45:00,78.60314908073983,0.0,0.0,0.0,0.0,0.0,5.919822833246803e-10,4.4087121795928947e-08,78.60314908014784,1.1455459210277906e-06
2025-11-04 03:00:00,80.72663355814834,0.0,0.0,0.0,0.0,0.0,1.090486344383585e-07,4.242570614316549e-08,80.72663344909971,1.26835755372061e-06
2025-11-04 03:15:00,74.26176223482972,0.0,0.0,0.0,0.0,0.0,0.0,-1.2110811068180985e-08,74.26176223482972,1.1383349195386868e-06
2025-11-04 03:30:00,74.82859319784907,0.0,0.0,0.0,0.0,0.0,0.0,-6.695604281980683e-09,74.82859319784907,1.150681531097973e-06
2025-11-04 03:45:00,78.3199332788875,0.0,0.0,0.0,0.0,0.0,4.767859798084109e-08,-7.976084372734326e-09,78.3199332312089,1.19791985043728e-06
2025-11-04 04:00:00,76.97492845191366,0.0,0.0,0.0,0.0,0.0,0.0,-3.2593135735339245e-08,76.97492845191366,1.127229795182097e-06
2025-11-04 04:15:00,80.96852392495701,0.0,0.0,0.0,0.0,0.0,1.0169700839460021e-07,-2.7847301683710302e-08,80.96852382326,1.237493405363796e-06
